body,classification,timestamp,title
"VANCOUVER (Reuters) - The first phase of battle over whether Huawei Chief Financial Officer Meng Wanzhou should be extradited to the United States wrapped up on Thursday after four days, with lawyers for Meng challenging prosecution claims that her alleged actions are a crime in Canada. ,In a Vancouver courtroom, lawyers for Meng opposed the Canadian prosecutor's arguments saying her alleged actions are not a crime in Canada because the charges of bank fraud are dependent on violating U.S. sanctions against Iran. Canada had no sanctions against Iran when the extradition process began. ,The judge said she would reserve her decision for a later date. Lawyers connected to the case expect a written judgment before April 27, when Meng is set to call evidence related to her arrest, which she alleges was improperly conducted. ,On Thursday, in their final arguments Meng's lawyer, Scott Fenton, told the judge that the U.S. request to extradite Meng is ""all and only about sanctions risk."" ,Fenton said that to side with the prosecution, and allow Meng to be extradited, would be an embarrassment to the Canadian judicial system. ,""The court is being embarrassed. There can be no fraud here because all risk to HSBC is based on underlying sanctions risk which cannot exist in Canada,"" he told the judge. ,The United States has charged Meng with bank fraud, and accused her of misleading HSBC Holdings Plc (,) about Huawei Technologies Co Ltd's business in Iran. ,Court proceedings show the United States issued the arrest warrant, which Canada acted on in December 2018, because it believes Meng covered up attempts by Huawei-linked companies to sell equipment to Iran, breaking U.S. sanctions against the country. ,But Meng's legal team argued that ""double criminality,"" is the central issue in this case. Under Canadian extradition laws, a person can only be extradited if the offense they are alleged to have committed in another country is also considered illegal in Canada. This is commonly called ""double criminality."" ,Unlike the United States, Canada did not have sanctions against Iran at the time Canadian officials authorized the start of the extradition process, her lawyers have said. ,If the judge finds that double criminality has not been met, then Meng would be free. However, the prosecution could immediately appeal the decision. Legal experts have said it could be years before a final decision is reached due to appeals.    ,Meng has said she is innocent and is fighting extradition. She entered court wearing a white polka dot dress with a long-sleeved black top and stiletto heels that she has often favored during the trial. ,Meng's lawyers acknowledge that between 2011 and 2016, Canada had economic sanctions against Iran, but that at the time the U.S. requested Meng for extradition, Canada had already done away with sanctions against Iran, ""along with the rest of the civilized world."" ,The case is therefore inherently political because it is about whether Canada imports the U.S. sanctions law — a ""political law"" — and applies it to an extradition request, said Richard Peck, one of Meng's lawyers. ,On Wednesday, prosecutors argued that Meng should be extradited on fraud charges, and that contrary to her defense argument, the case is not solely about violation of U.S. sanctions against Iran. They argued that the judge's job was to ""ensure that Canada doesn't become a safe haven for fraudsters."" ,Meng, the daughter of Huawei's billionaire founder Ren Zhengfei, remains free on bail in Canada, and has been living in a mansion in Vancouver's exclusive Shaughnessy neighborhood. ,Meng's legal team is currently only scheduled to call evidence in the last week of April, and a second phase of the trial, focusing on abuse of process and whether Canadian officials followed the law while arresting Meng, is set to begin in June. Closing arguments are expected in the last week of September and first week of October. ",Technology News,1/23/2020 12:52,U.S. extradition battle over Huawei's Meng ends first phase but Canada court fight continues
"PARIS (Reuters) - French prosecutors investigating a party that former Renault-Nissan boss Carlos Ghosn threw for his wife at the sumptuous Versailles palace will in the next few weeks ask judges to examine the case, bringing a prosecution a step closer. ,Prosecutors have been investigating whether Ghosn - now in Lebanon after he last month fled prosecution in Japan on financial misconduct charges - knowingly used company resources to throw a party that was for private purposes.   ,An official with the prosecutor's office in Nanterre, near Paris, which has been handling the investigation, told Reuters a judge or judges would be assigned to pursue the case against Ghosn. ,The judges have wider powers than prosecutors to pursue a criminal case. They can, in certain circumstances, order the detention of a suspect pending trial, or issue an international arrest warrant if the suspect is abroad. ,Asked by Reuters to comment, Jean-Yves Le Borgne, one of Ghosn's legal team, said Ghosn had done nothing wrong over the party, but there may have been a misunderstanding between Versailles and party planners working for Ghosn. ,The lawyer said Ghosn had offered to pay back the 50,000 euros ($55,470) cost of renting the venue for the party. ,""Carlos Ghosn is ready to answer French justice. Regarding his possible travel to France, things are complicated,"" Le Borgne added, citing a travel ban imposed by Lebanese prosecutors, and an international Interpol notice requesting Ghosn's arrest, as demanded by Japanese authorities.      ,Renault did not immediately respond to a request for comment.  ,Ghosn was once a giant of the global auto industry but is now a fugitive from Japanese justice. He last month slipped out of Japan, where he was subject to strict bail conditions, managing to board a private jet to Turkey and from there flying to Lebanon, his childhood home. ,He says the Japanese charges were fabricated as part of a plot to oust him from the Renault-Nissan alliance. ,The party at Versailles, principal residence of generations of French kings until the French revolution of 1789, took place on Oct. 8, 2016. Ghosn said it was to mark the 50th birthday of his wife, Carole. ,The case revolves around whether Ghosn was aware that Renault would end up footing the bill. ,Ghosn has denied any wrongdoing. He said the event was never presented as a corporate party, and he believed the venue was being offered free to him personally as a goodwill gesture by Versailles. ,He said he was later surprised to find out that it cost 50,000 euros and that the amount had been deducted from an allocation for the use of Versailles that Renault had been given in exchange for financing a renovation of the chateau. ,However, a spokeswoman for Versailles Palace said it was clear at the time the party took place that the event was presented as corporate in nature, and that the ultimate client the venue was dealing with was Renault-Nissan. ,""There was nothing which would allow us to believe this dinner was anything other than a corporate event."" ,She said that Versailles had documents demonstrating the parties were presented as corporate events, and said that Versailles was ready to share them with investigators. She declined to disclose the documents to Reuters.      ",Business News,1/23/2020 18:42,French investigators to move ahead with Ghosn prosecution over palace party
"BRUSSELS (Reuters) - iPhone maker Apple on Thursday pushed back against EU lawmakers' call for a common charger, warning the move could hamper innovation, create a mountain of electronic waste and irk consumers. ,Apple's comments came a week after lawmakers at the European Parliament called for a common charger for all mobile phones and amended a draft law to say the ability to work with common chargers would be an essential requirement for radio equipment in the bloc. ,A move to a common charger would affect Apple more than any other companies as its iPhones and most of its products are powered by its Lightning cable, whereas Android devices are powered by USB-C connectors. ,""We believe regulation that forces conformity across the type of connector built into all smartphones stifles innovation rather than encouraging it, and would harm consumers in Europe and the economy as a whole,"" Apple said in a statement. ,It said regulation was not needed as the industry is already moving to USB-C through a connector or cable assembly.  ,""We hope the (European) Commission will continue to seek a solution that does not restrict the industry's ability to innovate,"" Apple said. ,A study by Copenhagen Economics commissioned by Apple showed that consumer harm from a regulatory-mandated move to a common charger would cost at least 1.5 billion euros, outweighing the 13 million euros in associated environmental benefits. ,The European Commission, which acts as the executive for the EU, has been pushing for a common charger for more than a decade. ,In 2009 it got four companies including Apple, Samsung, Huawei [HWT.UL] and Nokia to sign a voluntary memorandum of understanding to harmonize chargers for new models of smartphones coming into the market in 2011. ,The voluntary approach is not working and it is time to look into legislation, Commission officials said. ,""A delegated act based on the Radio Equipment Directive (RED) is one of the options to be considered since it empowers the Commission to take certain type of regulatory measures in this field,"" the one of the officials said.  ,Another option was to pass legislation on the issue. ,""...given the limitation in the scope of RED and of its empowerment, any action through ordinary legislative procedure and/or through other instruments, such as implementing measures under the Eco-design Directive should be further explored and thoroughly assessed,"" the official said. ,The Commission will publish a study around the end of the month or early February on the impact of a common charger. ",Technology News,1/23/2020 16:05,"Apple pushes back against EU common charger, warns of innovation risks"
"(Reuters) - Waymo, the self-driving unit of Alphabet Inc (,), said on Thursday it will start testing autonomous trucks and vans in Texas and New Mexico this week.  ,The company will be using its minivan Chrysler Pacifica and long-haul trucks in the two states, it said , in a tweet.  ,Waymo, considered a leader in the global race to deploy autonomous vehicles, earlier this month said its vehicles had covered more than 20 million miles (32.2 million km) on public roads since its creation in 2009. ",Technology News,1/23/2020 13:57,"Waymo to test autonomous trucks, vans in Texas and New Mexico"
"LONDON (Reuters) - Britain wants a trade deal with the United States but will impose a digital service tax on the revenue of companies such as Google, Facebook and Amazon, business minister Andrea Leadsom said on Thursday. ,""The United States and the United Kingdom are committed to entering into a trade deal with each other and we have a very strong relationship that goes back centuries so some of the disagreements that we might have over particular issues don't in any way damage the excellent and strong and deep relationship between the U.S. and the UK,"" Leadsom told Talk Radio. ,""There are always tough negotiations and tough talk but I think where the tech tax is concerned it's absolutely vital that these huge multinationals who are making incredible amounts of income and profit should be taxed and what we want to do is to work internationally with the rest of the world to cover with a proper regime that ensures that they're paying their fair share."" ,Under the British plan, tech companies that generate at least 500 million pounds ($657 million) a year in global revenue will pay a levy of 2% of the money they make from UK users from April 2020. ",Technology News,1/23/2020 8:04,Britain to United States: We want a trade deal and a digital tax
"(Reuters) - Bankrupt California power producer PG&E Corp (,) said on Wednesday it had reached a deal on its restructuring with creditors, who were pushing for a rival plan. ,PG&E said its creditors, led by Elliott Management and Pacific Investment Management Co, would drop their reorganization plan and support PG&E's proposal, pending approval by a bankruptcy court. ,The bondholders had previously opposed PG&E's reorganization plan and in December came out with an updated proposal that included a sweetened offer to California wildfire victims, no debt at the reorganized holding company and a new board with residents from California forming the majority of directors. ,New notes to be issued under PG&E's plan will save its customers about $1 billion, the company said. ,California Governor Gavin Newsom on Wednesday reiterated his objection to the bankrupt utility's restructuring plan, adding that the company has not done enough to address the concerns that he had raised last month.  ,PG&E filed for Chapter 11 protection in January, citing potential liabilities in excess of $30 billion from deadly wildfires in 2017 and 2018 linked to its equipment. ,Separately, it came under renewed criticism last year for precautionary power outages to guard against the risk of wildfires posed by extremely dry and windy weather. ",Business News,1/23/2020 2:21,PG&E strikes deal with creditors over restructuring
"NEW YORK (Reuters) - World stock markets gained back some ground on Wednesday as investors took heart from measures to curb the spread of a flu-like virus from China, while oil prices tumbled on a forecast for a market surplus.  ,Worries about contagion of the coronavirus and its effect on the global economy, particularly as millions in China travel for upcoming Lunar New Year festivities, had knocked the world's top equity markets off record peaks. ,Deaths from the coronavirus rose to 17 on Wednesday, with more than 540 cases confirmed. Cases of the previously unknown virus have emerged as far away as the United States. ,The outbreak revived memories of the Severe Acute Respiratory Syndrome (SARS) epidemic in 2002-03, a virus outbreak that killed nearly 800 people worldwide and hit Hong Kong's economy particularly hard.  ,But China's response to the coronavirus outbreak, including some travel restrictions and regular updates by the government, reassured some investors. ,""The call here is not that the virus is done or nipped in the bud by any means,"" said Kay Van-Petersen, global macro strategist at Saxo Capital Markets. ""But there have been no big further reported outbreaks, and the response from the Chinese authorities has been very, very positive."" ,On Wall Street, the benchmark S&P 500 stock index ended nominally higher after touching a record earlier in the session. ,Among currencies, the safe-haven Japanese yen , and the Swiss franc , were little changed against the dollar as worries over the virus abated.  ,China's coronavirus had some lingering effects on oil markets. Concerns of dropping demand, along with a forecast of a market surplus from the International Energy Agency, pushed down crude prices. ,Brent crude LCOc1 ended down $1.38, or 2.1%, at $63.21 while U.S. crude CLc1 fell $1.64, or 2.8%, to settle at $56.74. ,The Dow Jones Industrial Average , fell 9.77 points, or 0.03%, to 29,186.27, the S&P 500 , gained 0.96 points, or 0.03%, to 3,321.75, and the Nasdaq Composite , added 12.96 points, or 0.14%, to 9,383.77. ,U.S. 2-year, 10-year and 30-year Treasury yields were little changed. Earlier, they hit two-week lows after the Bank of Canada held interest rates steady and opened the door for possible easing amid an economic slowdown, rekindling worries about global growth. ,""For Canada to sort of change its outlook fairly quickly opens up the possibility that easing could occur elsewhere too,"" said Jim Vogel, senior rates strategist at FHN Financial in Memphis. ,Benchmark 10-year Treasury notes US10YT=RR were little changed in price to yield 1.7691%, from 1.769% late on Tuesday.    Across the Atlantic, Italian government bonds had their biggest sell-off in a month after reports the leader of the country's co-governing 5-Star movement had resigned. ,The pan-European STOXX 600 equity index  lost 0.08%, and MSCI's gauge of stocks across the globe .MIWD00000PUS gained 0.10%. Emerging market stocks rose 0.58%. ,The dollar index .DXY fell 0.01%, with the euro , up 0.07% to $1.109. ,The Japanese yen strengthened 0.01% versus the greenback at 109.88 per dollar, while sterling , was last trading at $1.3135, up 0.67%. ,Spot gold XAU= added 0.04% to $1,558.35 an ounce. ,Graphic: Global currencies vs. dollar - , ",Business News,1/22/2020 1:15,"Stocks edge up, oil drops as China virus worries abate"
"DUBLIN (Reuters) - There is no alternative to the grounded 737 MAX and it would be ""absolutely stupid"" for Boeing (,) to launch a replacement before the next wave of technology a decade from now, the head of one of the world's top aircraft lessors said on Wednesday. ,Aengus Kelly, chief executive of Aercap (,), which has committed to a fleet of 100 MAX jets, told Reuters in an interview he had spoken to all of the biggest MAX operators in the world and said they still viewed it as a very good plane.  ,Kelly was speaking after Boeing on Tuesday warned of further delays in returning its grounded 737 MAX airliner to service, with the plane not likely to be cleared by U.S. regulators until the middle of the year. ,He said that some of his customers may cancel leases, but that the majority would not and some are keen to order more.  ,""For people to say this is the end of the MAX, that is absolutely incorrect. These people don't have much insight,"" Kelly said. ,He said, however, it was still impossible to say when the MAX might fly again. ,""We saw another delay from Boeing last night – I don't think they know,"" he said. ""Is July the last delay? Who knows?"" ,Asked if the MAX might be replaced in the coming years, a move that might undermine the jet's value, Kelly said it would be absolutely stupid for Boeing to launch a replacement plane before technology allows an additional 15% reduction in fuel burn, something he believes will not happen before 2030.  ,Kelly said all of the main aviation banks were still willing to lend money against the MAX, but added if that changed, the plane's valuation would be hit.  ,""Are the lessors and the banks willing to still finance the MAX and buy the MAX? The answer to that right now is yes. And if that is the case that puts a floor on the value of the aircraft,"" he said. ,He acknowledged banks may insist on lower loan-to-value ratios on loans issued against the MAX than against rival Airbus planes.  ,Kelly said he would expect Boeing to compensate it if it is forced to take back leases and lease the plane to new airlines. Any costs due to the grounding or any fall in the planes value would also feed into talks on compensation, he said.  ,""We would expect Boeing shareholders to absorb that pain because its their fault not our shareholders,"" he said.  ",Business News,1/22/2020 17:39,"No alternative to grounded Boeing 737 MAX, Aercap CEO says"
"DAVOS, Switzerland (Reuters) - Sundar Pichai, the CEO of Alphabet Inc and its Google subsidiary, said on Wednesday that healthcare offers the biggest potential over the next five to 10 years for using artificial intelligence to improve outcomes, and vowed that the technology giant will heed privacy concerns. ,U.S. lawmakers have raised questions about Google's access to the health records of tens of millions of Americans. Ascension, which operates 150 hospitals and more than 50 senior living facilities across the United States, is one of Google's biggest cloud computing customers in healthcare. ,""When we work with hospitals, the data belongs to the hospitals,"" Pichai told a conference panel at the World Economic Forum in Davos, Switzerland. ,""But look at the potential here. Cancer if often missed and the difference in outcome is profound. In lung cancer, for example, five experts agree this way and five agree the other way. We know we can use artificial intelligence to make it better,"" Pichai added. ,Google has spent several years developing artificial intelligence to automatically analyze MRI scans and other patient data to identify diseases and make predictions aimed at improving outcomes and reducing cost. ,The U.S. lawmakers asked the company in November to provide information about other health systems that provide information to Google, whether Ascension clients will be allowed to opt out of the project, and whether the data be used for advertising. ,Pichai said there was already strong privacy protecting regulations in place that provide a framework for Google to operate. ,Google clinched a deal in November to acquire Fitbit Inc for $2.1 billion, aiming to enter the wearables segment and invest in digital health. The acquisition is expected to be scrutinized closely by regulators before it is allowed to close. ,(This story corrects reference to Ascension from biggest to one of the biggest cloud computing customers in healthcare in 2nd paragraph) ",Big Story 15,1/22/2020 11:37,"Google CEO eyes major opportunity in healthcare, says will protect privacy"
"(Reuters) - Johnson & Johnson on Wednesday forecast 2020 profit  below Wall Street estimates and said increased competition for its off-patent treatments could somewhat limit growth in the top-earning pharmaceuticals unit.  ,Shares of the healthcare conglomerate fell nearly 2% to $146.62 after it reported a rare miss on quarterly revenue, as sales of cancer drug Imbruvica and psoriasis treatment Stelara came in below lofty Wall Street estimates.  ,J&J's pharmaceuticals unit, which makes up half of the company's overall sales, has powered much of its recent growth.  ,However, generic competition for medicines such as prostate cancer drug Zytiga, coupled with pressure to hold down prescription drug price increases in the United States, has weighed on revenue.  ,Chief Financial Officer Joseph Wolk said the company still expects sales growth to accelerate in 2020, but it will ""probably not be as robust as we would have thought this time last year."" ,He said J&J did not take as big a hit from generic and biosimilar competition in 2019 as feared, and that the company hoped its off-patent branded products could maintain market share into 2020. ,J&J expects full-year 2020 adjusted earnings of $8.95 to $9.10 per share, with a midpoint below current analysts' average estimates at the top of the range. ,Important newer drugs posted double-digit sales gains in the fourth quarter but missed analysts' forecasts.  ,Stelara rose 17.7% to $1.70 billion, short of Credit Suisse's estimate of $1.79 billion, while Imbruvica sales jumped  24.5% to $875 million, but still came up short of the brokerage's estimate of $907 million. ,Pharmaceutical sales rose 3.5% to $10.55 billion in the fourth quarter, but failed to reach Wall Street estimates of  $10.63 billion, according Refinitiv data. ,Overall sales rose 1.7% to $20.75 billion, below the average analyst estimate of $20.80 billion, marking the company's first revenue miss in at least eight quarters. ,The company said it will not actively participate in a U.S. Food and Drug Administration hearing early next month to discuss testing methods for talc. ,""We certainly welcome any discussion around the safety and efficacy of the product... I can say that our current internal testing methods exceed that of current FDA standards for cosmetic talc,"" Wolk said. ,The company faces thousands of lawsuits alleging that its talc products, including baby powder, caused cancer. J&J has maintained that the products are safe and do not contain cancer-causing contaminants. ,Excluding items, J&J earned $1.88 per share, beating the average analyst estimate by a cent, according to IBES data from Refinitiv. ",Business News,1/22/2020 11:41,"J&J forecasts weak annual profit, misses revenue estimates"
